region_code,region_name,municipality_code,municipality_name,piece,group,x,y
12,Skåne län,1266,Hörby,1,106.1,415839.38197719,6176801.46304871
12,Skåne län,1266,Hörby,1,106.1,412738.002830277,6178421.59507793
12,Skåne län,1266,Hörby,1,106.1,411272.915689775,6180894.35785098
12,Skåne län,1266,Hörby,1,106.1,413864.289166397,6184447.83088865
12,Skåne län,1266,Hörby,1,106.1,413839.526752055,6186059.78314198
12,Skåne län,1266,Hörby,1,106.1,410603.19024792,6185792.20796371
12,Skåne län,1266,Hörby,1,106.1,409491.741161399,6187850.26628716
12,Skåne län,1266,Hörby,1,106.1,408895.287866743,6192204.21121671
12,Skåne län,1266,Hörby,1,106.1,410452.543363889,6195462.80963702
12,Skåne län,1266,Hörby,1,106.1,412758.03321156,6198241.36683502
12,Skåne län,1266,Hörby,1,106.1,412665.094667175,6201067.93725479
12,Skåne län,1266,Hörby,1,106.1,414165.636673644,6202588.72333622
12,Skåne län,1266,Hörby,1,106.1,418804.481121298,6202243.02855534
12,Skåne län,1266,Hörby,1,106.1,421478.411583248,6201027.79210385
12,Skåne län,1266,Hörby,1,106.1,426041.940245966,6195057.79211936
12,Skåne län,1266,Hörby,1,106.1,430019.338487676,6198468.61545222
12,Skåne län,1266,Hörby,1,106.1,431894.48054556,6197269.027165
12,Skåne län,1266,Hörby,1,106.1,432542.607532526,6192172.89479562
12,Skåne län,1266,Hörby,1,106.1,430107.006779017,6188200.31575066
12,Skåne län,1266,Hörby,1,106.1,431807.751677714,6185409.39818737
12,Skåne län,1266,Hörby,1,106.1,434273.22422697,6185959.86346414
12,Skåne län,1266,Hörby,1,106.1,434576.638393203,6182306.05033334
12,Skåne län,1266,Hörby,1,106.1,431768.459931904,6178908.8948227
12,Skåne län,1266,Hörby,1,106.1,429262.741262323,6180443.01975385
12,Skåne län,1266,Hörby,1,106.1,423446.37618164,6182250.46403746
12,Skåne län,1266,Hörby,1,106.1,421029.352861624,6180288.23931248
12,Skåne län,1266,Hörby,1,106.1,421604.198235964,6178216.89077319
12,Skåne län,1266,Hörby,1,106.1,417817.759650817,6178406.7269044
12,Skåne län,1266,Hörby,1,106.1,415839.38197719,6176801.46304871
12,Skåne län,1267,Höör,1,107.1,401155.377595134,6187371.35721905
12,Skåne län,1267,Höör,1,107.1,401810.702484154,6189718.84157166
12,Skåne län,1267,Höör,1,107.1,401557.893545564,6194773.41682005
12,Skåne län,1267,Höör,1,107.1,404044.948038473,6195522.05614759
12,Skåne län,1267,Höör,1,107.1,402409.239202942,6198909.31326043
12,Skåne län,1267,Höör,1,107.1,399277.185736566,6201445.52171915
12,Skåne län,1267,Höör,1,107.1,399778.662024522,6204211.01821135
12,Skåne län,1267,Höör,1,107.1,398316.303470722,6208585.78202256
12,Skåne län,1267,Höör,1,107.1,403049.9864848,6208499.10538557
12,Skåne län,1267,Höör,1,107.1,403659.781320384,6212258.39626941
12,Skåne län,1267,Höör,1,107.1,406189.163208519,6213404.39788952
12,Skåne län,1267,Höör,1,107.1,407244.25595334,6216433.26241556
12,Skåne län,1267,Höör,1,107.1,410607.007290754,6217172.21236244
12,Skåne län,1267,Höör,1,107.1,411406.908208991,6213468.33270784
12,Skåne län,1267,Höör,1,107.1,416650.501318364,6211920.32031904
12,Skåne län,1267,Höör,1,107.1,415959.16207346,6205555.25538919
12,Skåne län,1267,Höör,1,107.1,414165.636673644,6202588.72333622
12,Skåne län,1267,Höör,1,107.1,412665.094667175,6201067.93725479
12,Skåne län,1267,Höör,1,107.1,412758.03321156,6198241.36683502
12,Skåne län,1267,Höör,1,107.1,410452.543363889,6195462.80963702
12,Skåne län,1267,Höör,1,107.1,408895.287866743,6192204.21121671
12,Skåne län,1267,Höör,1,107.1,409491.741161399,6187850.26628716
12,Skåne län,1267,Höör,1,107.1,407496.921501696,6186716.5648364
12,Skåne län,1267,Höör,1,107.1,407151.159985563,6183534.08554922
12,Skåne län,1267,Höör,1,107.1,403716.724245919,6183285.19697526
12,Skåne län,1267,Höör,1,107.1,401155.377595134,6187371.35721905
